source,target,distance
Albany,Suffolk,133
Albany,Ulster,51
Albany,Broome,98
Albany,Schenectady,15
Allegany,Erie,49
Allegany,Tioga,88
Allegany,Tompkins,80
Allegany,Clinton,277
Allegany,Essex,249
Allegany,Oneida,148
Allegany,Rensselaer,232
Allegany,Sullivan,171
Allegany,Wyoming,32
Broome,Delaware,43
Broome,Dutchess,109
Broome,Herkimer,97
Broome,Monroe,117
Broome,Orange,93
Broome,Erie,154
Broome,Tioga,25
Broome,Tompkins,39
Cattaraugus,Orleans,72
Cattaraugus,Lewis,194
Cayuga,Chemung,54
Cayuga,Madison,44
Cayuga,Oswego,41
Cayuga,Otsego,79
Cayuga,Franklin,161
Chautauqua,Chemung,133
Chautauqua,Madison,193
Chautauqua,Oswego,183
Chautauqua,Otsego,222
Chautauqua,Franklin,302
Chemung,Cortland,47
Chemung,St. Lawrence,183
Chenango,Clinton,183
Chenango,Essex,145
Chenango,Oneida,52
Chenango,Rensselaer,107
Chenango,Sullivan,69
Chenango,Wyoming,133
Chenango,Niagara,166
Chenango,Schoharie,59
Clinton,Greene,172
Clinton,Montgomery,132
Clinton,Onondaga,173
Clinton,Ontario,223
Clinton,Putnam,229
Clinton,Genesee,254
Clinton,Hamilton,85
Clinton,Warren,82
Clinton,Washington,99
Columbia,Niagara,267
Columbia,Schoharie,47
Columbia,Fulton,71
Columbia,Jefferson,170
Columbia,Livingston,213
Cortland,Fulton,91
Cortland,Jefferson,100
Cortland,Livingston,87
Cortland,Madison,30
Cortland,Oswego,57
Cortland,Otsego,52
Delaware,Suffolk,144
Delaware,Ulster,41
Delaware,Schenectady,63
Dutchess,Suffolk,78
Dutchess,Ulster,28
Dutchess,Schenectady,74
Erie,Schenectady,237
Erie,Greene,236
Erie,Montgomery,217
Erie,Onondaga,129
Erie,Ontario,72
Erie,Putnam,271
Essex,Greene,128
Essex,Montgomery,90
Essex,Onondaga,143
Essex,Ontario,197
Essex,Putnam,185
Essex,Genesee,234
Essex,Hamilton,47
Essex,Warren,38
Essex,Washington,58
Franklin,St. Lawrence,38
Franklin,Orleans,216
Fulton,Steuben,161
Fulton,Wayne,131
Genesee,Oneida,139
Genesee,Rensselaer,237
Genesee,Sullivan,196
Genesee,Wyoming,20
Genesee,Niagara,31
Genesee,Schoharie,192
Greene,Tioga,112
Greene,Tompkins,120
Greene,Oneida,94
Greene,Rensselaer,43
Greene,Sullivan,50
Greene,Wyoming,210
Hamilton,Oneida,55
Hamilton,Rensselaer,82
Hamilton,Sullivan,135
Hamilton,Wyoming,199
Hamilton,Niagara,215
Hamilton,Schoharie,74
Herkimer,Suffolk,207
Herkimer,Ulster,111
Herkimer,Schenectady,61
Jefferson,Steuben,142
Jefferson,Wayne,81
Lewis,Schuyler,120
Lewis,Seneca,97
Livingston,Steuben,37
Livingston,Wayne,48
Madison,St. Lawrence,113
Monroe,Suffolk,295
Monroe,Ulster,195
Monroe,Schenectady,185
Montgomery,Tioga,107
Montgomery,Tompkins,107
Montgomery,Oneida,55
Montgomery,Rensselaer,48
Montgomery,Sullivan,83
Montgomery,Wyoming,192
Nassau,Westchester,30
Nassau,Rockland,36
Nassau,Saratoga,164
New York,Westchester,29
Niagara,Warren,247
Niagara,Washington,267
Niagara,Steuben,94
Niagara,Wayne,86
Oneida,Onondaga,41
Oneida,Ontario,98
Oneida,Putnam,152
Oneida,Warren,82
Oneida,Washington,101
Onondaga,Tioga,58
Onondaga,Tompkins,40
Onondaga,Rensselaer,137
Onondaga,Sullivan,115
Onondaga,Wyoming,104
Ontario,Tioga,69
Ontario,Tompkins,50
Ontario,Rensselaer,192
Ontario,Sullivan,151
Ontario,Wyoming,47
Orange,Suffolk,85
Orange,Ulster,33
Orange,Schenectady,98
Orleans,Schuyler,90
Oswego,St. Lawrence,91
Otsego,St. Lawrence,128
Putnam,Tioga,141
Putnam,Tompkins,156
Putnam,Rensselaer,89
Putnam,Sullivan,56
Putnam,Wyoming,245
Rensselaer,Warren,60
Rensselaer,Washington,41
Rockland,Suffolk,66
Rockland,Ulster,52
Saratoga,Suffolk,163
Saratoga,Ulster,86
Schenectady,Tioga,123
Schenectady,Tompkins,125
Schoharie,Warren,73
Schoharie,Washington,71
Schoharie,Steuben,151
Schoharie,Wayne,136
Seneca,Yates,17
Sullivan,Warren,135
Sullivan,Washington,129
Warren,Wyoming,228
Washington,Wyoming,245
