source,target,distance
Albany,Orange,84
Allegany,Orange,200
Broome,Orange,93
Cattaraugus,Orange,232
Cayuga,Orange,155
Chautauqua,Orange,266
Chemung,Orange,136
Chenango,Orange,100
Clinton,Orange,233
Columbia,Orange,67
Cortland,Orange,122
Delaware,Orange,64
Dutchess,Westchester,41
Erie,Orange,245
Essex,Orange,189
Franklin,Orange,220
Fulton,Orange,118
Genesee,Orange,227
Greene,Orange,60
Hamilton,Orange,156
Herkimer,Orange,143
Jefferson,Orange,200
Lewis,Orange,174
Livingston,Orange,200
Madison,Orange,125
Monroe,Orange,211
Montgomery,Orange,103
Nassau,Westchester,30
New York,Westchester,29
Niagara,Orange,258
Oneida,Orange,139
Onondaga,Orange,147
Ontario,Orange,183
Orange,Westchester,32
Orange,Orleans,237
Orange,Oswego,168
Orange,Otsego,92
Orange,Rensselaer,99
Orange,St. Lawrence,217
Orange,Saratoga,119
Orange,Schenectady,98
Orange,Schoharie,82
Orange,Schuyler,148
Orange,Seneca,160
Orange,Steuben,169
Orange,Suffolk,85
Orange,Sullivan,32
Orange,Tioga,116
Orange,Tompkins,132
Orange,Ulster,33
Orange,Warren,150
Orange,Washington,139
Orange,Wayne,184
Orange,Wyoming,220
Orange,Yates,167
Putnam,Westchester,18
Rockland,Westchester,13
