county,relative_time,real_time,lat,long,degree,degree_centrality,closeness_centrality
Albany,5,3/12/20,42.60060306,-73.97723916,4,0.06451612903225806,0.08008898776418243
Allegany,8,3/16/20,42.25748406,-78.02750466,0,0.0,0.0
Broome,6,3/13/20,42.15903158,-75.81326086,0,0.0,0.0
Cattaraugus,19,3/28/20,42.24778241,-78.67923096,1,0.016129032258064516,0.04032258064516129
Cayuga,16,3/24/20,42.91261714,-76.55731592,1,0.016129032258064516,0.05376344086021505
Chautauqua,16,3/24/20,42.22769210000001,-79.36691763,0,0.0,0.0
Chemung,15,3/23/20,42.13891056,-76.7638805,0,0.0,0.0
Chenango,10,3/18/20,42.49430041,-75.60887553,0,0.0,0.0
Clinton,9,3/17/20,44.74530905,-73.67875352,0,0.0,0.0
Columbia,12,3/20/20,42.24819348,-73.63089095,2,0.03225806451612903,0.0967741935483871
Cortland,14,3/22/20,42.59509207,-76.07048931,0,0.0,0.0
Delaware,5,3/12/20,42.19837623,-74.96709306,0,0.0,0.0
Dutchess,5,3/12/20,41.76486060000001,-73.74356679,1,0.016129032258064516,0.07258064516129031
Erie,7,3/14/20,42.76249024,-78.73063652,2,0.03225806451612903,0.05202913631633715
Essex,9,3/17/20,44.11630765,-73.77297842,0,0.0,0.0
Franklin,17,3/25/20,44.59040891,-74.29926032,0,0.0,0.0
Fulton,13,3/21/20,43.11363907,-74.41798804,1,0.016129032258064516,0.058064516129032254
Genesee,10,3/18/20,43.0022601,-78.19135193,0,0.0,0.0
Greene,8,3/16/20,42.275797,-74.12384884,0,0.0,0.0
Hamilton,10,3/18/20,43.66146647,-74.49721957,0,0.0,0.0
Herkimer,5,3/12/20,43.42034246,-74.96145307,0,0.0,0.0
Jefferson,13,3/21/20,44.04200959,-75.94653457,0,0.0,0.0
Lewis,20,3/31/20,43.784415700000004,-75.44903992,1,0.016129032258064516,0.05376344086021505
Livingston,13,3/21/20,42.72596275,-77.77966158,0,0.0,0.0
Madison,15,3/23/20,42.91653905,-75.67266639,0,0.0,0.0
Monroe,5,3/12/20,43.14638895,-77.69322942,4,0.06451612903225806,0.08488964346349745
Montgomery,8,3/16/20,42.90123494,-74.44011632,0,0.0,0.0
Nassau,2,3/5/20,40.74066522,-73.58941873,1,0.016129032258064516,0.05955334987593052
New York,0,3/2/20,40.76727260000001,-73.97152637,2,0.03225806451612903,0.06277244986922406
Niagara,11,3/19/20,43.19898042,-78.74777412,0,0.0,0.0
Oneida,9,3/17/20,43.24375382,-75.43710392,0,0.0,0.0
Onondaga,8,3/16/20,43.00491923,-76.19971155,5,0.08064516129032258,0.07680491551459293
Ontario,8,3/16/20,42.85145728,-77.30874425,0,0.0,0.0
Orange,5,3/12/20,41.40337468,-74.30240757,2,0.03225806451612903,0.07741935483870968
Orleans,18,3/26/20,43.2516977,-78.2320066,2,0.03225806451612903,0.06720430107526881
Oswego,15,3/23/20,43.42778894,-76.14635194,0,0.0,0.0
Otsego,15,3/23/20,42.63492579,-75.03151402,1,0.016129032258064516,0.058064516129032254
Putnam,8,3/16/20,41.42630093,-73.74965532,3,0.04838709677419355,0.08294930875576036
Rensselaer,9,3/17/20,42.71348136,-73.51089874,0,0.0,0.0
Rockland,3,3/7/20,41.15027894,-74.02560498,1,0.016129032258064516,0.07258064516129031
St. Lawrence,16,3/24/20,44.4976179,-75.06550039,0,0.0,0.0
Saratoga,3,3/7/20,43.10904162,-73.86653895,0,0.0,0.0
Schenectady,6,3/13/20,42.81668777,-74.05278291,0,0.0,0.0
Schoharie,11,3/19/20,42.58831742,-74.44339029999998,1,0.016129032258064516,0.058064516129032254
Schuyler,19,3/28/20,42.39184015,-76.8773299,3,0.04838709677419355,0.08064516129032258
Seneca,21,4/1/20,42.78081007,-76.82497064,3,0.04838709677419355,0.08064516129032258
Steuben,12,3/20/20,42.2689144,-77.3829924,0,0.0,0.0
Suffolk,4,3/8/20,40.88320119,-72.8012172,0,0.0,0.0
Sullivan,9,3/17/20,41.71579493,-74.76394559,1,0.016129032258064516,0.07258064516129031
Tioga,7,3/14/20,42.16852837,-76.30835812,0,0.0,0.0
Tompkins,7,3/14/20,42.44945765,-76.47229843,3,0.04838709677419355,0.06451612903225806
Ulster,4,3/8/20,41.89027881,-74.26252104,0,0.0,0.0
Warren,10,3/18/20,43.56173026,-73.8433699,0,0.0,0.0
Washington,10,3/18/20,43.31153794,-73.43043448,0,0.0,0.0
Wayne,12,3/20/20,43.15494365,-77.02976528,0,0.0,0.0
Westchester,1,3/3/20,41.16278376,-73.75741653,6,0.0967741935483871,0.11059907834101382
Wyoming,9,3/17/20,42.70145109,-78.22199579,0,0.0,0.0
Yates,22,4/2/20,42.63505484,-77.10369919,3,0.04838709677419355,0.08064516129032258
